player_name,wgr,top_10,wins,score_average,rounds,bounce_back,driving_accuracy,driving_distance,par5_SA,gir,putts_round,scramble,sg_putt,sg_t2g,sg_total
Justin Rose,1,4,1,69.858,24,18.92,61.07,303.3,4.56,65.56,26.8,67.74,0.448,1.047,1.495
Dustin Johnson,2,5,0,69.58,31,20,53.71,304.1,4.54,70.83,28.71,64.63,0.706,1.799,2.506
Rory McIlroy,3,7,0,69.594,32,34.48,59.6,312.3,4.58,72.22,28.93,58.57,0.326,2.415,2.741
Brooks Koepka,4,2,0,70.472,29,27.14,60.05,307.9,4.5,69.02,29.19,56.55,-0.213,0.652,0.439
Justin Thomas,5,5,1,69.432,39,24.14,59.65,300.7,4.34,72.69,28.78,59.89,0.138,1.936,2.074
Bryson DeChambeau,6,3,2,70.093,31,36.23,67.68,301.7,4.39,67.46,28.54,61.59,0.408,0.928,1.336
Francesco Molinari,7,2,1,71.531,27,30.91,64.44,290.3,4.76,63.06,28.3,61.65,0.564,0.145,0.709
Jon Rahm,8,6,0,69.931,39,25.64,62.3,305.5,4.52,68.83,28.5,60.89,0.272,1.282,1.554
Rickie Fowler,9,3,0,69.887,36,19.78,60.12,303.6,4.6,69.75,28.67,58.67,0.779,0.528,1.307
Xander Schauffele,10,3,1,69.89,37,21.43,60.21,302.7,4.45,71.24,28.65,65.34,0.611,1.343,1.954
Paul Casey,11,4,0,70.219,40,16.47,70.58,295,4.45,71.3,29.28,59.68,-0.411,1.369,0.958
Tiger Woods,12,2,0,69.916,21,12.82,65.18,300.8,4.61,74.31,29.56,62.16,0.191,1.479,1.67
Tommy Fleetwood,13,3,1,69.845,27,20.75,62.99,301.2,4.56,68.52,28.88,68.38,0.068,1.771,1.838
Jason Day,14,4,0,70.104,29,29.51,63.56,298.8,4.55,70.94,28.42,61.03,0.868,0.763,1.632
Tony Finau,15,1,0,70.127,41,20.83,58.57,309.3,4.51,66.52,28.39,62.01,0.218,0.708,0.926
Matt Kuchar,16,5,0,69.878,47,22.37,71.58,291,4.45,75.97,29.68,64.16,-0.122,1.417,1.295
